,SAMPLE_ID,BORO,BFE_DAY,ROUTE,SPA_DIR,LVTIME,ARRTIME,MILEAGE,ORIGIN,DESTINATION,TRIP_TYPE,LAT_O,LONG_O,LAT_D,LONG_D,BEF_SRT_TIME,BEF_SRT_DEST_TIME,BEF_SPA_DIR,BEF_LAT_O,BEF_LONG_D,RET_SRT_TIME,RET_SRT_DEST_TIME,RET_SPA_DIR,DURATION,SWITCH
1128,51189,B,WKD,B70,NB,1022,1106,5.131,CROPSEY AV / BKLYN CAMPUS VA,39 ST / 1 AV,Local,40.609103999999995,-74.02382,40.656033,-74.0117,908.0,950.0,SB,40.656155,-74.02389000000001,1143.0,1229.0,SB,46.0,0
1129,51190,B,WKD,B70,NB,2050,2126,5.131,CROPSEY AV / BKLYN CAMPUS VA,39 ST / 1 AV,Local,40.609103999999995,-74.02382,40.656033,-74.0117,1934.0,2016.0,SB,40.656155,-74.02389000000001,2234.0,2307.0,SB,33.0,0
1130,51191,B,WKD,B6,WB,1446,1621,10.842,LIVONIA AV / ASHFORD ST,HARWAY AV / BAY 37 ST,Limited,40.666385999999996,-73.88361,40.59295,-73.993385,1304.0,1426.0,EB,40.59347,-73.883385,1636.0,1808.0,EB,92.0,0
1131,51192,B,WKD,B62,SB,856,1005,7.367999999999999,JACKSON AV / QUEENS PZ S,BOERUM PL / SCHERMERHORN ST,Local,40.74861,-73.93843000000001,40.690403,-73.98947,719.0,828.0,NB,40.690594,-73.93915600000001,1032.0,1138.0,NB,66.0,0
1132,51193,M,WKD,M50,EB,603,623,2.412,12 AV / 42 ST,49 ST / 1 AV,Local,40.76215,-74.00144,40.753384000000004,-73.96686,505.0,522.0,WB,40.75351,-74.00097,655.0,717.0,WB,22.0,0
1133,51194,M,WKD,M116,EB,535,555,2.9019999999999997,W 106 ST / BROADWAY,PLEASANT AV / E 120 ST,Local,40.80115,-73.967575,40.797615,-73.93101,500.0,515.0,WB,40.79725,-73.9676,625.0,648.0,WB,23.0,0
1134,51195,B,WKD,B61,NB,1344,1434,6.017,PROSPECT PK W / 18 ST,SMITH ST / LIVINGSTON ST,Local,40.657635,-73.98289,40.69043,-73.98788499999999,1233.0,1324.0,SB,40.691208,-73.98294,1457.0,1553.0,SB,56.0,0
1135,51196,B,SATURDAY,B61,SB,1758,1844,7.479,SMITH ST / FULTON ST,PROSPECT PARK WEST / 18 ST,Local,40.691208,-73.98737,40.657578,-73.98294,1647.0,1738.0,NB,40.657635,-73.98788499999999,1920.0,2005.0,NB,45.0,0
1136,51197,BX,SATURDAY,BX28,WB,1021,1117,7.21,EARHART LA / ERSKINE PL,VALENTINE AV / E 192 ST,Local,40.861336,-73.822716,40.864178,-73.89445,856.0,948.0,EB,40.863914,-73.82267,1202.0,1302.0,EB,60.0,0
1137,51198,Q,SATURDAY,Q110,EB,1310,1342,4.623,88 AV / PARSONS BL,BELMONT PARK / HEMPSTEAD AV,Local,40.70671,-73.80234,40.712272999999996,-73.72792,1225.0,1254.0,WB,40.71235,-73.80238,1406.0,1435.0,WB,29.0,0
1138,51199,BX,SATURDAY,BX13,EB,1226,1257,3.005,W 178 ST / FT WASHINGTON AV,RIVER AV / E 149 ST,Local,40.848490000000005,-73.93856,40.81969,-73.93004599999999,1136.0,1205.0,WB,40.820633,-73.93775,1325.0,1358.0,WB,33.0,0
1139,51200,Q,SATURDAY,Q46,WB,1447,1527,7.792999999999999,L.I.J.MEDICAL RDWY / 271 ST,QUEENS BL / 78 CR,Local,40.755062,-73.70640999999999,40.714733,-73.83123,1349.0,1426.0,EB,40.71522,-73.70659,1546.0,1623.0,EB,37.0,0
1140,51201,Q,SATURDAY,Q20A,SB,715,818,9.15,COLLEGE PT BL / 15 AV,MERRICK BL / ARCHER AV,Local,40.784027,-73.8459,40.704933000000004,-73.79332,550.0,644.0,NB,40.704906,-73.84551,840.0,949.0,NB,69.0,0
